datetime,humidity,pressure,temperature,wind_direction,wind_speed,weather_condition,city,country,latitude,longitude
2012-10-03 23:00:00,62.0,1013.0,299.71,350.0,5.0,cloudy,Eilat,Israel,29.55805,34.948212
2012-10-04 15:00:00,34.0,1010.0,307.68,30.0,9.0,sunny,Eilat,Israel,29.55805,34.948212
2012-10-05 19:00:00,35.0,1011.0,301.49,350.0,5.0,sunny,Eilat,Israel,29.55805,34.948212
2012-10-06 18:00:00,42.0,1012.0,300.05,360.0,5.0,sunny,Eilat,Israel,29.55805,34.948212
2012-10-11 21:00:00,39.0,1010.0,297.05,30.0,2.0,sunny,Eilat,Israel,29.55805,34.948212
2012-10-12 16:00:00,42.0,1009.0,302.62,40.0,1.0,sunny,Eilat,Israel,29.55805,34.948212
2012-10-21 17:00:00,26.0,1008.0,304.692222222,278.0,2.0,cloudy,Eilat,Israel,29.55805,34.948212
2012-10-23 07:00:00,57.0,1013.0,297.45,360.0,2.0,sunny,Eilat,Israel,29.55805,34.948212
2012-10-26 05:00:00,56.0,1012.0,295.15,360.0,5.0,sunny,Eilat,Israel,29.55805,34.948212
2012-10-26 23:00:00,44.0,959.0,291.57,116.0,0.0,sunny,Eilat,Israel,29.55805,34.948212
2012-10-29 17:00:00,26.0,1014.0,300.02,10.0,4.0,sunny,Eilat,Israel,29.55805,34.948212
2012-10-30 07:00:00,47.0,1014.0,296.1,10.0,4.0,sunny,Eilat,Israel,29.55805,34.948212
2012-11-02 21:00:00,47.0,1012.0,296.75,360.0,5.0,foggy,Eilat,Israel,29.55805,34.948212
2012-11-08 00:00:00,47.0,963.0,294.2,17.0,1.0,sunny,Eilat,Israel,29.55805,34.948212
2012-11-10 11:00:00,37.0,1009.0,301.68,60.0,2.0,cloudy,Eilat,Israel,29.55805,34.948212
2012-11-11 04:00:00,88.0,1014.0,291.15,360.0,5.0,sunny,Eilat,Israel,29.55805,34.948212
2012-11-12 07:00:00,52.0,964.0,291.82,315.0,2.0,sunny,Eilat,Israel,29.55805,34.948212
2012-11-13 07:00:00,72.0,1016.0,292.15,330.0,2.0,sunny,Eilat,Israel,29.55805,34.948212
